"","Cohort","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037","2038","2039","2040","2041","2042","2043","2044","2045","2046","2047","2048","2049","2050","2051","2052","2053","2054","2055","2056","2057","2058","2059","2060","2061","2062","2063","2064","2065","2066","2067","2068","2069","2070","2071","2072","2073","2074","2075","2076","2077","2078","2079","2080","2081","2082","2083","2084","2085","2086","2087","2088","2089","2090","2091","2092","2093","2094","2095","2096","2097","2098","2099","2100","2101","2102","2103","2104","2105","2106","2107","2108","2109","2110","2111","2112","2113","2114","2115","2116","2117","2118","2119","2120","2121","2122","2123","2124","2125","2126","2127","2128","2129","2130","2131","2132","2133","2134","2135","2136","2137","2138","2139","2140","2141","2142","2143","2144","2145","2146","2147","2148","2149","2150"
"78",1982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56916716454.6835,56911483071.7369,57001875080.8295,57065400575.494,57094492839.4816,57087352978.1205,57039647411.3998,56945930491.6286,56800218604.4904,56598223087.2431,56330388223.7901,55973089911.0919,55480968761.6905,54878582486.2072,54146298631.4831,53256537800.3889,52190995817.7482,50917390950.3058,49408463654.5421,47640265429.205,45596161597.3634,43266594670.3873,41016415109.5121,38451934737.531,35591602464.9439,32464693624.5743,29126271936.4254,25645280746.9974,22103951275.578,18592926146.822,15208995882.0929,12048489955.5991,9201153405.08312,20895150461.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79",1983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57562771123.4148,57690612048.116,57786280051.3831,57854874753.1936,57888969682.4041,57886821415.536,57843941242.1996,57755013323.8438,57613786754.7883,57416216948.2701,57152642441.5624,56753943433.0667,56264236783.5802,55663768503.1851,54932695338.3022,54042980177.4862,52976156983.444,51699151775.2275,50184280299.5465,48407166390.1801,46350570118.3951,44370494336.8549,42089388190.9314,39484975883.2324,36575434372.835,33389487956.7957,29982432029.3889,26423966103.6542,22797692137.6064,19196502999.2846,15719802793.7488,12467421016.7128,9532655727.38398,21966054833.6036,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80",1984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55484424668.8993,55611483329.846,55707475810.0035,55777745462.2295,55814898450.5292,55817362592.2574,55780841947.0136,55700283186.2651,55569929711.8285,55385977174.0819,55095379033.0492,54718314280.1507,54254562517.263,53685075792.9198,52990663797.3205,52144386960.4551,51128451894.2236,49910854896.4645,48464889360.0965,46766660474.2767,45172395190.5384,43266964402.5215,41068629090.0888,38554379201.1229,35740970925.3777,32655028969.893,29349384769.0225,25890954652.9195,22360673903.3831,18848735517.6311,15452330482.5702,12269829606.2028,9393262578.39153,22666411060.9023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81",1985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57393597529.2516,57528025522.8109,57630666200.7961,57707068903.8182,57749672395.6158,57756873224.909,57724200583.4843,57646407057.2784,57517688928.756,57288333821.53,56994260426.3414,56611730066.1285,56140360644.2297,55560440644.7972,54852541096.9198,53988200462.068,52949242276.8844,51702715107.762,50220552051.6184,48881600483.7553,47237267807.3139,45268329001.4916,42993224584.5617,40387013109.6798,37465933486.3862,34256825565.5825,30813993328.8151,27206351957.14,23518085086.1777,19843282576.7334,16284166623.58,12944200999.1371,9920885394.24644,23575711832.2118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82",1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59120855235.8055,59262589921.0455,59371981752.4202,59454715960.5233,59502981254.9175,59515225019.994,59486964244.561,59412674302.134,59239380369.5082,59009631291.5499,58713950000.5475,58328090624.4062,57851594982.0376,57264426027.6813,56545965226.4514,55667675928.8833,54610394703.4008,53340301898.9605,52259896408.9692,50889321131.4915,49201622351.971,47176687965.0524,44832993249.051,42143714996.2265,39124382371.803,35801882530.7622,32231557786.6201,28483877140.4467,24646175731.5893,20816146722.6106,17100676618.6748,13608475944.3411,10442358404.7213,24634478689.3607,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83",1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60508191121.0299,60656890205.0323,60772880522.5661,60861825323.8851,60916073998.8356,60933718142.2481,60910519659.7555,60792564956.8027,60621527456.1443,60393234786.3803,60098367584.1542,59712175103.0224,59234397117.23,58644060794.2159,57920397819.6629,57034563866.568,55966578227.36,55137109781.5038,54042980091.2325,52649921385.9483,50930060436.749,48861878787.0692,46464251302.2759,43707974725.0089,40607990591.5486,37190775832.026,33512365018.6806,29644643310.9409,25676834181.3791,21710119155.9406,17855304193.8677,14225807885.3756,10929877596.0928,25779827522.3752,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84",1988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60932781506.3269,61085003284.398,61204370549.6901,61296949233.2603,61354764930.9109,61376057918.769,61307829324.924,61192636100.043,61024527453.5025,60799451016.5378,60508011678.755,60125500113.3074,59651166848.6196,59064269483.6133,58344297709.6968,57461960537.7032,56866853441.4297,56040558916.9497,54946443565.4708,53549698954.5414,51821629179.2482,49740077931.459,47323463745.7599,44541136578.2395,41407348652.2155,37948161148.5593,34219134747.6697,30292687930.746,26259114161.8168,22221386066.9642,18292436387.5226,14588293298.7017,11220095872.3909,26847827865.395,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85",1989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61895067631.7808,62052262809.2165,62176515166.4521,62273703175.8405,62335766497.9779,62311784795.5278,62246195884.0917,62133343241.7352,61967436384.8629,61744271967.5213,61454641636.3001,61072692648.8564,60598334833.1538,60010605542.1917,59288696571.3763,58889269117.3872,58295786075.6783,57466789444.4059,56364550710.7705,54953117185.1189,53202925258.9394,51090624003.3495,48634619776.8155,45802528019.05,42607837103.4675,39076126793.1679,35263174841.8952,31242379436.1431,27105714004.861,22958624541.367,18917380950.3669,15102170608.3607,11628071913.2191,27946019997.3598,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86",1990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62531293277.2748,62693039094.833,62821708398.5429,62923332883.4305,62940057397.4406,62919325030.35,62857113975.3159,62747761450.8548,62585471846.8386,62366260454.6357,62080013055.6947,61701373531.6686,61230302370.0844,60646007902.7569,60426042766.6731,60035361643.6962,59448351742.3696,58622858280.0936,57520084329.9486,56103164606.7224,54341713870.9556,52211423346.2483,49730538807.4934,46864833336.4023,43626937093.5891,40041628604.4422,36164464540.4319,32069272162.3676,27849264935.8089,23611689114.1701,19475844984.9056,15565174380.538,11998602698.1467,29041528733.9106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87",1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63528816654.5555,63694339590.3391,63826608301.058,63880716302.235,63898720405.9777,63879141189.7585,63817795767.4406,63709102483.8231,63547256851.3129,63327363891.0285,63040051909.5437,62659831534.6677,62186129053.109,62111068997.4674,61896575738.3047,61507896898.4017,60919125690.3153,60087031836.725,58971957775.337,57535501666.0018,55746558783.5652,53580071507.4927,51054361689.0859,48133218829.3394,44828866240.1874,41165523954.9008,37199748291.0153,33006273420.0853,28680337546.4439,24332087773.6394,20084073469.5932,16063735773.7719,12393758143.0603,30152569301.2269,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88",1992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63641869125.8269,63809660823.2869,63893273463.3174,63948826033.2362,63968555121.1663,63950881979.402,63891841344.4772,63785952428.5888,63626746312.1039,63410214076.0195,63126731507.1098,62750698413.2633,62800619101.4326,62735793351.1813,62531077284.0569,62151869582.511,61571587090.5935,60746659155.3272,59636702952.2819,58203200438.8165,56414308441.072,54244187335.1572,51710975235.021,48777056390.4907,45453724258.3621,41764663734.7077,37765438512.4479,33531287406.2339,29157833295.1995,24756420326.2366,20451305287.8878,16372068597.724,12643834764.6643,31172154241.0938,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89",1993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64449663966.7026,64569727709.4078,64655467272.7005,64712874836.5279,64734408347.4711,64718666593.28,64661718903.9023,64557311306.2406,64399142985.0976,64183436190.195,63900685961.7213,64053863818.0373,64114904287.1429,64059732529.4746,63863057830.0814,63489240386.148,62911438682.4541,62084681896.2022,60968056171.7763,59521810616.6999,57713175386.3634,55515561489.7332,52946961672.9142,49967896333.0236,46588725440.0232,42832741624.4511,38755753738.755,34433751463.7267,29963892008.0306,25460108959.8927,21049597317.8821,16865674208.6408,13037479888.332,32229133510.8136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90",1994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63201115162.9945,63320321485.1994,63405733856.1883,63463894449.8935,63487232041.283,63474847258.1702,63421492467.9,63321699683.5251,63169978981.9647,62962435998.6307,63211661174.1235,63373116009.952,63444370341.9831,63401896891.875,63220551819.3692,62865239364.9463,62309454643.1833,61508871671.3439,60422643768.8416,59011418644.0469,57242282406.6067,55088357735.0113,52567230029.327,49638576685.46,46311647990.3579,42608015702.3954,38581802654.1592,34306912623.7139,29879450035.4748,25411608306.1949,21029897760.1828,16867153915.7262,13052934329.24,33043600755.5137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91",1995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65437402746.3772,65562041896.8446,65652364639.2803,65714867897.1961,65742117602.1145,65731803359.5487,65679656639.7749,65580098050.5602,65427118400.4464,65759814877.7364,66030144395.4811,66209954084.7441,66296620972.2429,66265564832.3077,66090743637.9295,65735403202.5578,65171948296.3921,64353827545.8223,63238615196.9358,61784563777.3546,59957221994.5747,57728204647.434,55115013212.6155,52074451539.6835,48614940401.896,44757798705.6624,40558231434.632,36093019201.6663,31461311059.7269,26780527035.1293,22183382631.008,17809982096.6663,13797256152.5821,34207763685.9401,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92",1996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70002786748.3399,70136645240.8961,70234552471.7362,70303436715.1494,70334168260.7125,70325270036.117,70271847169.5625,70168379689.9339,70591257326.8474,70959397105.5967,71260412691.154,71465170365.7443,71570269152.3483,71549427431.5394,71374459704.12,71006305382.4174,70414205670.3844,69548469075.9042,68362950442.8539,66812319559.6784,64859143309.2949,62472396475.6465,59670309115.9093,56405338517.6993,52685088037.4361,48532038864.3039,44004324838.4823,39184225112.5827,34178270156.2753,29113536336.0564,24133969423.861,19391716702.5929,15036125063.0302,35986198838.3035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93",1997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73816703239.3504,73958826517.396,74064416717.3221,74138601276.0312,74173059052.1321,74166062601.329,74112914490.2003,74623705748.115,75083024172.8868,75484494705.4977,75815732328.9697,76045878908.0774,76170992243.3014,76162955154.3651,75992341743.4306,75617903797.7979,75006399383.7349,74105246896.787,72864812558.9675,71237080662.2711,69181324834.3092,66664488297.8971,63705267754.558,60251508409.5129,56310161588.6049,51904171531.6841,47093783182.252,41965452672.1156,36632201803.5051,31229026191.7427,25909613001.42,20837502066.5555,16172985845.4784,38144510366.6063,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94",1998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76127680649.0827,76276008761.1302,76385687618.9126,76463304305.3076,76500468479.8926,76495424016.2136,77079603502.4819,77619400106.3341,78106087671.4658,78533542692.2047,78888672410.0346,79140154178.0495,79282993380.0239,79288803539.001,79126785773.4397,78754182828.6653,78136216522.209,77218285250.5301,75948798851.0583,74277149912.781,72160707291.4179,69564431784.6661,66507499626.9366,62934435297.5752,58850969264.8112,54279371816.4572,49281430702.0615,43945779570.784,38389455997.8913,32752792309.1101,27196702934.4366,21892260518.3039,17008155881.7586,40367344571.4439,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95",1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81393364753.627,81552762038.916,81671592511.9678,81756784564.3303,81799319660.9729,82478287912.4994,83117996574.9808,83710486888.4421,84247035309.9821,84720215399.4758,85116187220.9904,85402195908.2345,85572334515.1678,85595941325.1084,85440041649.9229,85059275959.6537,84415266128.8104,83449204809.7194,82105513563.4077,80329090392.5885,78073028367.4467,75299760817.5495,72028636631.8501,68198521669.1032,63813743284.0281,58897384386.2176,53514329693.8423,47758295174.7913,41754912727.5071,35655559510.4089,29634842768.1311,23878702757.6688,18570883332.6216,43168996752.0531,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96",2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85253230707.9895,85420047021.3341,85545310531.1405,85635552523.8465,86395016134.0865,87120470651.35,87804868869.2259,88440325398.0462,89017357099.868,89528389254.3531,89958392115.4753,90274047906.0172,90468083947.8614,90509065284.4084,90361760763.4568,89978372958.23,89318368893.5538,88319848290.6531,86923338842.1107,85070432706.3457,82711642765.945,79806039083.2951,76373970543.7912,72349078621.286,67734651339.5949,62553704941.2823,56872754351.0937,50790060887.7695,44437366690.7812,37975038510.2914,31587984361.3793,25474436880.2557,19830774479.6916,46181195895.9921,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97",2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92434384559.7422,92616107838.9567,92753552412.5038,93626647724.2743,94466756699.4925,95270133572.9766,96030014947.8088,96737122431.1068,97381807812.0376,97954788212.5249,98440148826.6879,98802606825.8232,99033524262.5721,99098262097.7953,98959345846.7352,98564672031.2339,97868772616.6021,96804523423.2942,95306553968.9185,93310513211.8701,90761602293.8765,87614680554.2903,83890895856.5287,79516190161.3284,74491816892.2621,68841789492.367,62636593704.0277,55982015927.2785,49021283481.1601,41929772043.9519,34910642772.8416,28182249694.1543,21961888360.0488,51144057416.4149,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98",2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93707455575.125,93892217106.3964,94815450818.5014,95715953013.6749,96583033348.1684,97413456728.6215,98199817897.1433,98933456271.3884,99603748240.1055,100202062697.357,100711955751.446,101097818001.318,101350457994.75,101434966098.856,101313005358.408,100931601543.982,100243943924.147,99181343554.3464,97677231608.8272,95665388724.2886,93088529240.1516,89900631907.5058,86122271650.3933,81675882915.1301,76561389546.7393,70801263751.2549,64465543481.8135,57660641974.7061,50532236655.493,43259360102.782,36050277403.2578,29130273602.441,22700665266.1653,52864494561.2041,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99",2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94489549847.3759,95464295995.4196,96410535796.5683,97333621708.7888,98223651775.842,99076858692.6249,99886409322.0382,100642820084.021,101335844786.231,101956409391.712,102488446855.799,102895657877.542,103168973029.551,103272992782.057,103168816615.642,102802641580.708,102127198946.995,101072291154.66,99569779238.739,97552358991.2523,94961198557.5645,91748754175.4686,87935259508.3729,83440119911.7653,78261517776.5912,72420414682.1634,65985951286.8378,59065068427.6358,51804467697.7498,44385719609.427,37021961873.8,29915439113.5275,23312529737.0921,54289382581.7202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100",2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97312628874.8479,98324137388.3544,99306024481.6426,100265024915.119,101190475195.887,102078894634.164,102923020594.158,103713371735.618,104439430801.846,105092295159.392,105654785131.544,106090795486.526,106390219636.232,106517219825.074,106431220983.954,106077746511.284,105407752063.184,104348704768.772,102830330769.559,100782894138.233,98145518300.032,94867801831.7743,90970710687.6764,86368863958.4362,81058557035.5734,75059613771.5962,68440859603.6065,61310627733.2856,53819186109.9212,46152864211.7303,38495930543.6257,31106473239.3722,24240679859.5515,56450825276.2596,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101",2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100764280028.26,101818080339.395,102842740380.615,103844104203.047,104811582173.107,105741349222.17,106625936522.708,107455996457.631,108220589362.81,108910012764.77,109507421860.332,109975523493.74,110304233161.236,110455501182.742,110388282230.12,110046189574.925,109378104561.802,108309307116.833,106766446553.943,104677154032.052,101977662004.614,98615431044.9187,94611226968.8463,89874514889.3692,84399259705.6363,78204421534.0496,71359176866.3251,63973853217.7295,56202466782.3112,48196656346.1302,40200649880.0146,32483964461.6698,25314132432.336,58950643102.315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102",2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104431953278.664,105531502728.372,106601057776.878,107647288317.895,108658643037.156,109632123151.471,110559659412.987,111431642077.188,112236680517.524,112965225108.427,113599374986.814,114101465540.541,114460248993.655,114637297888.375,114589751934.731,114259227224.61,113592906727.939,112513492274.455,110944419150.563,108810407347.714,106044655398.434,102592377961.413,98473909757.6601,93593649154.6699,87943613553.5296,81541104695.1395,74455580904.6378,66799544845.6563,58684900337.0811,50325477442.2711,41976291553.7553,33918764177.5602,26432244418.4757,61554462167.3975,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
